name,borough,cuisine,description,latitude,longitude,tags
Sol y Sazón,Mérida,Mexican,Modern Yucatecan fusion with open-air dining,20.967,-89.623,"fine-dining;fusion;romantic"
Luna Rosa,Guadalajara,Italian,Handmade pasta and wood-fired pizzas served in a cozy courtyard,20.673,-103.344,"family;romantic;authentic"
El Asador del Norte,Monterrey,Steakhouse,Traditional northern cuts grilled over mesquite wood,25.686,-100.316,"grill;meat-lovers;rustic"
Bamboo Garden,CDMX,Asian,Pan-Asian restaurant with a minimalist interior and tea ceremonies,19.432,-99.133,"zen;tea;vegetarian-friendly"
La Ola Verde,Tijuana,Vegan,Vibrant vegan cafe offering cold-pressed juices and plant-based tacos,32.514,-117.038,"eco-friendly;healthy;casual"
Café Aurora,Oaxaca,Café,Artisan coffee roastery with mountain-grown beans and handmade pastries,17.065,-96.726,"bohemian;local;breakfast"
Puerto Azul,Cancún,Seafood,Oceanfront seafood restaurant with live Caribbean music at sunset,21.161,-86.851,"seafood;live-music;romantic"
Sabor del Alma,Puebla,Traditional,Heirloom recipes from Puebla’s colonial kitchens reimagined with a twist,19.043,-98.198,"heritage;authentic;gourmet"
Mochi Wave,Querétaro,Japanese,Trendy sushi bar known for creative rolls and local sake pairings,20.588,-100.389,"modern;japanese;nightlife"
El Cántaro,Bacalar,Vegetarian,Colorful garden restaurant featuring organic Mayan-inspired cuisine,18.677,-88.392,"organic;outdoor;eco"
Casa Tangó,CDMX,Argentinian,Upscale parrilla with live tango shows every weekend,19.421,-99.162,"tango;grill;wine"
Rincón del Desierto,Hermosillo,Mediterranean,Greek-inspired dishes made with Sonoran olive oil and local cheese,29.072,-110.955,"mediterranean;cozy;regional"
